ID,Plaintext Name,Solar System Flag,Phylum,Samples,cfreq_1336mhz,cfreq_2008mhz,cfreq_4536mhz,cfreq_8336mhz,Unnamed: 9
672,HVGC-1,0,StellarGroup,A,1,1,1,1,
673,3C 186,0,AGN,A,1,1,1,1,
674,SDSS J113323.97+550415.9,0,AGN,A,1,1,1,1,
675,17P/Holmes,1,MinorBody,A,2,2,2,2,
676,Uranus,1,GiantPlanet,A,0,0,0,0,
677,HIP 41378,0,GiantPlanet,A,1,1,1,1,
678,HD 65949,0,Star,A,0,0,0,0,
679,Przybylski's star,0,Star,A,0,0,0,0,
680,HD 106038,0,Star,A,1,1,1,1,
681,HD 135485,0,Star,A,1,1,1,1,
682,LS IV-14 116,0,Star,A,1,1,1,1,
683,2MASS J13535604+4437076,0,Star,A,1,1,1,1,
684,COM 6266B,0,InteractingBinary,A,0,0,0,0,
685,M67-S1063,0,Star,A,0,0,0,0,
686,[SBD2011] 5,0,Star,A,0,0,0,0,
687,1E 1613-5055,0,CollapsedStar,A,0,0,0,0,
688,DWD HS 2220+2146,0,StellarGroup,A,0,0,0,0,
689,NGC 1277*,0,AGN,A,0,0,0,0,
690,Was 49b,0,AGN,A,1,1,1,1,
691,2MASX J07390433+1804252,0,AGN,A,1,1,1,1,
692,J 06587-5558,0,Unknown,A,0,0,0,0,
693,ASASSN -15lh,0,Unknown,A,0,0,0,0,
694,CMB cold spot,0,LSS,A,0,0,0,0,
695,(10537) 1991 RY16,1,MinorBody,A,0,0,0,0,
696,KIC 8462852,0,MinorBody+Star,A,1,1,1,1,
697,HD 139139,0,MinorBody,A,1,1,1,1,
698,VVV-WIT-07,0,MinorBody,A,0,0,0,0,
699,ASASSN-V J060000.76-310027.83,0,Star,A,0,0,0,0,
700,WISEA 0615-1247,0,Star,A,1,1,1,1,
701,45 Dra,0,Star,A,1,1,1,1,
702,OGLE LMC-CEP-4506,0,Star,A,0,0,0,0,
703,EK Dra,0,Star,A,1,1,1,1,
704,ASASSN-V J190917.06+182837.36,0,Star,A,1,1,1,1,
705,ASASSN-V J213939.3-702817.4,0,Star,A,0,0,0,0,
706,ASASSN V J193622.23+115244.1,0,Star,A,1,1,1,1,
707,NGC 3021-CANDIDATE 1,0,Star,A,0,0,0,0,
708,FILE 07/12/2025 8:49,0,Star,A,1,1,1,1,
709,BD +31 1048,0,Star,A,1,1,1,1,
710,AQ CVn,0,Star,A,1,1,1,1,
711,bet Cam,0,Star,A,0,0,0,0,
712,V654 Her,0,Star,A,1,1,1,1,
713,PTF 14jg,0,Star,A,0,0,0,0,
714,ASASSN-19lb,0,Star,A,0,0,0,0,
715,ASASSN-20lj,0,Star,A,1,1,1,1,
716,YZ CMi,0,Star,A,0,0,0,0,
717,Landstreet's star,0,Star,A,1,1,1,1,
718,GRB 060614,0,CollapsedStar,A,0,0,0,0,
719,GRB 060505,0,CollapsedStar,A,0,0,0,0,
720,PSR B0919+06,0,CollapsedStar,A,1,1,1,1,
721,DDE 168,0,Star,A,0,0,0,0,
722,UMi dSph,0,Galaxy,A,1,1,1,1,
723,NGC 247,0,Galaxy,A,0,0,0,0,
724,Leoncino dwarf,0,Galaxy,A,0,0,0,0,
725,Spikey,0,AGN,A,1,1,1,1,
726,ZTF19abanrhr,0,AGN,A,1,1,1,1,
727,GSN 069,0,AGN,A,0,0,0,0,
728,MCG+00-09-070,0,AGN,A,0,0,0,0,
729,3C 141,0,Unknown,A,0,0,0,0,
730,3C 125,0,Unknown,A,0,0,0,0,
731,3C 431,0,Unknown,A,1,1,1,1,
732,PMN J1751-2524,0,Unknown,A,1,1,1,1,
733,FRB 121102,0,Unknown,A,1,1,1,1,
734,ORC 2,0,Unknown,A,0,0,0,0,
735,Galactic center radio arc,0,Unknown,A,0,0,0,0,
736,3FGL J1539.2-3324,0,Unknown,A,0,0,0,0,
737,3FGL J1231.6-5113,0,Unknown,A,0,0,0,0,
738,TeV J2032+4130,0,Unknown,A,0,0,0,0,
739,HESS J1745-303,0,Unknown,A,0,0,0,0,
740,LWAT 171018,0,Unknown,A,0,0,0,0,
741,ILT J225347+862146,0,Unknown,A,1,1,1,1,
742,TGSSADR J183304.4-384046,0,Unknown,A,0,0,0,0,
743,J103916.2+585124,0,Unknown,A,1,1,1,1,
744,WJN J1443+3439,0,Unknown,A,1,1,1,1,
745,43.78+59.3,0,Unknown,A,0,0,0,0,
746,FIRST J141918.9+394036,0,Unknown,A,1,1,1,1,
747,RT 19920826,0,Unknown,A,1,1,1,1,
748,GCRT J1745-3009,0,Unknown,A,0,0,0,0,
749,FRB 190523,0,Unknown,A,1,1,1,1,
750,FRB 180916.J0158+65,0,Unknown,A,0,0,0,0,
751,VVV-WIT-02,0,Unknown,A,1,1,1,1,
752,OTS 1809+31,0,Unknown,A,1,1,1,1,
753,MASTER OT J051515.25+223945.7,0,Unknown,A,0,0,0,0,
754,USNO-B1.0 1084-0241525,0,Unknown,AE,1,1,1,1,
755,PTF 11agg,0,Unknown,A,0,0,0,0,
756,SN 2008S,0,Unknown,A,1,1,1,1,
757,PTF 09dav,0,Unknown,A,1,1,1,1,
758,AT 2018cow,0,Unknown,A,0,0,0,0,
759,Dougie,0,Unknown,A,1,1,1,1,
760,XRT 000519,0,Unknown,A,1,1,1,1,
761,CDF-S XT1,0,Unknown,A,0,0,0,0,
762,CXOU J124839.0-054750,0,Unknown,A,1,1,1,1,
763,M86 tULX-1,0,Unknown,A,1,1,1,1,
764,Swift J195509.6+261406,0,Unknown,A,1,1,1,1,
765,IceCube neutrino multiplet,0,Unknown,A,0,0,0,0,
766,KIC 2856960,0,StellarGroup,A,1,1,1,1,
767,AAE-061228,0,Unknown,A,1,1,1,1,
768,AAE-141220,0,Unknown,A,0,0,0,0,
769,AAC-150108,0,Unknown,A,1,1,1,1,
770,IRAS 16406-1406,0,Star,E,1,1,1,1,
771,IRAS 20331+4024,0,Star,E,0,0,0,0,
772,IRAS 20369+5131,0,Star,E,1,1,1,1,
773,IRAS 04287+6444,0,StellarGroup,E,0,0,0,0,
774,UW CMi,0,Star,E,0,0,0,0,
775,WISE J224436.12+372533.6,0,Galaxy,E,1,1,1,1,
776,UGC 3097,0,Galaxy,E,0,0,0,0,
777,NGC 814,0,Galaxy,E,0,0,0,0,
778,ESO 400-28,0,Galaxy,E,0,0,0,0,
779,MCG+02-60-017,0,Galaxy,E,0,0,0,0,
780,TYC 6111-1162-1,0,Star,E,1,1,1,1,
781,UGC 5394,0,Galaxy,E,0,0,0,0,
782,NGC 4502,0,Galaxy,E,1,1,1,1,
783,NGC 4698,0,Galaxy,E,1,1,1,1,
784,IC 3877,0,Galaxy,E,1,1,1,1,
785,AGC 470027,0,Galaxy,E,0,0,0,0,
786,HR 6171,0,Star,E,0,0,0,0,
787,GJ 1019,0,Star,E,0,0,0,0,
788,GJ 299,0,Star,E,0,0,0,0,
789,HD 220077,0,Star,E,1,1,1,1,
790,HIP 107359,0,Star,E,1,1,1,1,
791,TYC 3010-1024-1,0,Star,E,0,0,0,0,
792,Wow!_a,0,Unknown,E,0,0,0,0,
793,Wow!_b,0,Unknown,E,1,1,1,1,
794,5.13 +2.1,0,Unknown,E,0,0,0,0,
795,08.00-08.50,0,Unknown,E,0,0,0,0,
796,03.10+58.0,0,Unknown,E,0,0,0,0,
797,11.03.91,0,Unknown,E,0,0,0,0,
798,WISE 0735-5946,0,Unknown,E,0,0,0,0,
799,IRAS 16329+8252,0,Unknown,E,0,0,0,0,
800,CSL-1,0,GalaxyAssociation,C,1,1,1,1,
801,GRB 090709A,0,CollapsedStar,C,1,1,1,1,
802,GW100916_a,0,NotReal,C,0,0,0,0,
803,GW100916_b,0,NotReal,C,0,0,0,0,
804,HD 117043,0,Star,C,1,1,1,1,
805,Hertzsprung's object,0,NotReal,C,0,0,0,0,
806,HIP 114176,0,NotReal,C,0,0,0,0,
807,KIC 5520878,0,Star,C,1,1,1,1,
808,KIC 9832227,0,StellarGroup,C,1,1,1,1,
809,KOI 6705.01,0,Star,C,1,1,1,1,
810,Perseus flasher,0,NotReal,C,0,0,0,0,
811,PSR B1829-10,0,CollapsedStar,C,1,1,1,1,
812,OT 060420,0,NotReal,C,1,1,1,1,
813,SSSPM J1549-3544,0,Star,C,0,0,0,0,
814,Swift trigger 954840,0,NotReal,C,0,0,0,0,
815,TU Leo,0,Star,C,0,0,0,0,
816,VLA J172059.9+385226.6,0,NotReal,C,1,1,1,1,
