ra,dec,name
31.088333333333335,-10.959388888888888,SN 2025pas
8.715,4.051611111111111,SN 2025ocy
9.071666666666667,47.879733333333334,SN 2025ngt
57.295,25.187430555555554,SN 2025msx
0.7799999999999999,18.08078611111111,SN 2025mmu
18.386666666666667,78.45874722222223,SN 2025mco
9.293333333333333,9.679580555555555,SN 2025koz
42.095,-55.223755555555556,SN 2025ija
48.74166666666667,66.19748055555556,SN 2025fpz
53.57833333333333,-42.80464166666666,SN 2025fhm
9.093333333333334,15.869752777777778,SN 2025ddc
37.108333333333334,-7.467905555555555,SN 2025cnu
51.36666666666667,17.18059722222222,SN 2025tt
4.64,18.466675,SN 2025oq
42.473333333333336,-22.50591111111111,SN 2025kg
41.71333333333333,8.180519444444444,SN 2025ad
39.51166666666666,-1.478388888888889,SN 2024aeiw
10.675,-2.4347611111111114,SN 2024adml
36.34166666666667,23.750091666666666,SN 2024acsd
49.18833333333333,-10.424288888888888,SN 2024abup
54.755,24.206083333333332,SN 2024abrl
30.19333333333333,70.23113055555555,SN 2024aber
29.01,9.991741666666666,SN 2024zut
11.701666666666666,-62.78556944444444,SN 2024stj
32.221666666666664,18.09687222222222,SN 2024ryr
43.67333333333333,34.598675,SN 2024rqu
39.775,-13.02266388888889,SN 2024pxk
44.42666666666667,-39.77746388888889,SN 2024pkb
36.108333333333334,24.054880555555556,SN 2024jga
29.276666666666667,-14.977147222222222,SN 2024itg
4.54,1.345225,SN 2024gqd
53.431666666666665,-24.300491666666666,SN 2024fji
42.24,52.115833333333335,SN 2024fis
4.105,-25.134366666666665,SN 2024ccr
8.26,-33.47131388888889,SN 2024amg
24.576666666666668,-22.969680555555556,SN 2024tv
8.725,48.969480555555556,SN 2023zxq
4.013333333333334,41.267044444444444,SN 2023zff
36.82,1.5849111111111112,SN 2023zeu
45.665,-20.80996111111111,SN 2023xrs
21.928333333333335,-3.77225,SN 2023wtq
50.153333333333336,-51.66774722222222,SN 2023vvw
41.06,35.61736388888889,SN 2023qzm
36.525,47.858961111111114,SN 2023pel
17.775,30.270094444444442,SN 2023mee
31.623333333333335,26.366197222222223,SN 2023lcr
17.508333333333333,15.717927777777778,SN 2023lbk
0.31,26.4089,SN 2023iwy
41.08166666666666,40.064280555555555,SN 2023fnx
28.77,46.52101111111111,SN 2023eiw
48.321666666666665,0.8391194444444445,SN 2023qg
43.86333333333333,-60.65396111111111,SN 2022ydv
16.08,-2.6167194444444446,SN 2022ydn
1.21,22.61534166666667,SN 2022xzc
30.098333333333333,9.282602777777779,SN 2022xxf
13.058333333333334,19.773405555555556,SN 2022xiw
56.776666666666664,48.10578888888889,SN 2022wlm
52.195,29.307655555555556,SN 2022wda
39.60666666666667,19.490805555555557,SN 2022vcz
50.415,29.882497222222224,SN 2022ofv
51.33166666666666,58.9108,SN 2022ixu
0.15166666666666667,36.12030277777778,SN 2022hdn
29.098333333333333,-4.906033333333333,SN 2022eqb
24.818333333333335,-21.389369444444444,SN 2022crr
59.59,14.12888888888889,SN 2022cob
9.173333333333334,-3.865947222222222,SN 2022cca
51.445,40.72954166666667,SN 2022bqt
21.786666666666665,-10.02726388888889,SN 2022ys
12.975,-16.27571111111111,SN 2021agqh
33.095,29.773425,SN 2021agnl
25.811666666666667,44.1059,SN 2021aein
12.383333333333333,-13.20539722222222,SN 2021acpm
49.513333333333335,23.861758333333334,SN 2021acfe
47.571666666666665,-7.806969444444444,SN 2021aazw
9.918333333333333,9.685827777777778,SN 2021aabp
14.183333333333334,1.8812055555555556,SN 2021ywf
10.365,-42.07284166666667,SN 2021wwm
38.72833333333333,-15.63813888888889,SN 2021ukr
14.233333333333333,-40.26648888888889,SN 2021ucw
40.905,10.325149999999999,SN 2021too
10.785,49.20501388888889,SN 2021qjv
17.01,22.096474999999998,SN 2021otc
36.54833333333333,25.76127222222222,SN 2021ncn
3.065,8.861038888888888,SN 2021ktv
27.608333333333334,4.45305,SN 2021hyz
45.52,46.66704166666666,SN 2021htb
32.031666666666666,-53.749519444444445,SN 2021hku
46.715,7.210738888888889,SN 2021fop
10.921666666666667,-6.047052777777778,SN 2021epp
33.49,-6.380419444444444,SN 2021bmf
14.08,19.417975000000002,SN 2021aug
7.546666666666667,36.77953611111111,SN 2021xv
17.57,-8.260536111111112,SN 2021jw
4.38,-14.046216666666666,SN 2020abxl
0.5683333333333334,-8.116869444444445,SN 2020abxc
38.395,-35.224761111111114,SN 2020aboq
7.888333333333334,-18.699555555555555,SN 2020tsc
40.15,34.11653888888889,SN 2020tkx
15.296666666666667,37.014094444444446,SN 2020rph
39.821666666666665,-6.437752777777778,SN 2020rfr
6.91,30.2715,SN 2020lao
49.31,-3.769519444444444,SN 2020jqm
23.786666666666665,29.982916666666664,SN 2020hyj
47.095,42.77773055555556,SN 2020hes
8.473333333333333,29.012852777777777,SN 2020fhj
45.59166666666667,29.310697222222224,SN 2020dgd
33.95,40.24378333333333,SN 2020bvc
12.081666666666667,32.73381388888889,SN 2020ayz
2.6066666666666665,-16.198425,SN 2020zg
1.2066666666666666,16.724752777777777,SN 2019xcc
35.61666666666667,-11.475275,SN 2019tvk
51.13166666666667,12.427380555555555,SN 2019qfi
53.001666666666665,25.12123888888889,SN 2019pgo
38.553333333333335,45.63116111111111,SN 2019oqp
3.2733333333333334,53.60801388888889,SN 2019nep
6.085,-28.014241666666667,SN 2019mof
55.765,21.955480555555553,SN 2019moc
51.928333333333335,10.880308333333334,SN 2019loe
31.026666666666667,8.47326111111111,SN 2019lci
12.936666666666667,68.36255833333333,SN 2019hsx
